system   I             system.c:245  al_install_system                [   0.00088] Allegro version: 5.1.12 (WIP)
dtor     D               dtor.c:184  _al_register_destructor          [   0.16197] added dtor for object 0093F728, func 0FF04AC5
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.16246] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.16254] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.16258] 
dtor     D               dtor.c:184  _al_register_destructor          [   0.16263] added dtor for object 00947AC8, func 0FF04AC5
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.16269] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.16273] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.16276] 
dtor     D               dtor.c:184  _al_register_destructor          [   0.16280] added dtor for object 00947E10, func 0FF04AC5
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.16285] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.16289] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.16292] 
dtor     D               dtor.c:184  _al_register_destructor          [   0.16297] added dtor for object 00948318, func 0FF04AC5
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.16302] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.16306] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.16309] 
system   D            wsystem.c:674  maybe_parent_dir                 [   0.17569] Also searching C:\Users\Rica.PENGIN\Documents\Visual Studio 2015\Projects\Retriever\
system   D            wsystem.c:724  _al_win_safe_load_library        [   0.17643] PathFindOnPath found: C:\WINDOWS\system32\d3d9.dll
system   D            wsystem.c:635  load_library_at_path             [   0.17649] Calling LoadLibrary C:\WINDOWS\system32\d3d9.dll
system   I            wsystem.c:638  load_library_at_path             [   0.18953] Loaded C:\WINDOWS\system32\d3d9.dll
d3d      I         d3d_disp.cpp:672  d3d_init_display                 [   0.32850] Render-to-texture: 1
d3d      I         d3d_disp.cpp:1770 d3d_create_display_locked        [   0.33004] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1771 d3d_create_display_locked        [   0.33009] al_display=030E3968
d3d      D         d3d_disp.cpp:1772 d3d_create_display_locked        [   0.33013] al_display->vt=030D0300
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.36583] found 288 format combinations
display  D   display_settings.c:202  debug_display_settings           [   0.36592] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.36598] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.36601] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.36606] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.36609] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.36614] Score is : 726
display  D   display_settings.c:202  debug_display_settings           [   0.36617] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.36621] Score is : 721
display  D   display_settings.c:202  debug_display_settings           [   0.36624] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.36629] Score is : 717
display  D   display_settings.c:202  debug_display_settings           [   0.36632] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.36636] Score is : 715
display  D   display_settings.c:202  debug_display_settings           [   0.36639] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.36646] Score is : 714
display  D   display_settings.c:202  debug_display_settings           [   0.36649] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.36654] Score is : 713
display  D   display_settings.c:202  debug_display_settings           [   0.36657] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.36661] Score is : 712
display  D   display_settings.c:202  debug_display_settings           [   0.36665] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.36669] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.36673] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.36677] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.36681] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.36685] Score is : 726
display  D   display_settings.c:202  debug_display_settings           [   0.36689] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.36695] Score is : 721
display  D   display_settings.c:202  debug_display_settings           [   0.36698] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.36703] Score is : 717
display  D   display_settings.c:202  debug_display_settings           [   0.36706] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.36710] Score is : 715
display  D   display_settings.c:202  debug_display_settings           [   0.36713] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.36718] Score is : 714
display  D   display_settings.c:202  debug_display_settings           [   0.36721] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.36725] Score is : 713
display  D   display_settings.c:202  debug_display_settings           [   0.36729] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.36733] Score is : 712
display  D   display_settings.c:202  debug_display_settings           [   0.36736] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.36741] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.36744] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.36748] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.36752] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.36756] Score is : 726
display  D   display_settings.c:202  debug_display_settings           [   0.36759] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.36763] Score is : 721
display  D   display_settings.c:202  debug_display_settings           [   0.36767] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.36771] Score is : 717
display  D   display_settings.c:202  debug_display_settings           [   0.36774] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.36778] Score is : 715
display  D   display_settings.c:202  debug_display_settings           [   0.36782] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.36786] Score is : 714
display  D   display_settings.c:202  debug_display_settings           [   0.36789] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.36795] Score is : 713
display  D   display_settings.c:202  debug_display_settings           [   0.36798] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.36802] Score is : 712
display  D   display_settings.c:202  debug_display_settings           [   0.36806] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.36810] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.36813] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.36818] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.36821] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.36826] Score is : 726
display  D   display_settings.c:202  debug_display_settings           [   0.36829] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.36833] Score is : 721
display  D   display_settings.c:202  debug_display_settings           [   0.36836] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.36843] Score is : 717
display  D   display_settings.c:202  debug_display_settings           [   0.36848] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.36853] Score is : 715
display  D   display_settings.c:202  debug_display_settings           [   0.36857] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.36863] Score is : 714
display  D   display_settings.c:202  debug_display_settings           [   0.36867] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.36872] Score is : 713
display  D   display_settings.c:202  debug_display_settings           [   0.36877] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.36882] Score is : 712
display  D   display_settings.c:202  debug_display_settings           [   0.36887] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.36893] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.36897] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.36903] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.36907] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.36913] Score is : 726
display  D   display_settings.c:202  debug_display_settings           [   0.36917] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.36923] Score is : 721
display  D   display_settings.c:202  debug_display_settings           [   0.36927] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.36933] Score is : 717
display  D   display_settings.c:202  debug_display_settings           [   0.36937] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.36943] Score is : 715
display  D   display_settings.c:202  debug_display_settings           [   0.36947] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.36953] Score is : 714
display  D   display_settings.c:202  debug_display_settings           [   0.36957] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.36963] Score is : 713
display  D   display_settings.c:202  debug_display_settings           [   0.36967] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.36982] Score is : 712
display  D   display_settings.c:202  debug_display_settings           [   0.36987] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.36993] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.36997] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.37003] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.37008] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.37013] Score is : 726
display  D   display_settings.c:202  debug_display_settings           [   0.37017] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.37023] Score is : 721
display  D   display_settings.c:202  debug_display_settings           [   0.37027] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.37033] Score is : 717
display  D   display_settings.c:202  debug_display_settings           [   0.37037] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.37047] Score is : 715
display  D   display_settings.c:202  debug_display_settings           [   0.37051] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.37057] Score is : 714
display  D   display_settings.c:202  debug_display_settings           [   0.37061] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.37067] Score is : 713
display  D   display_settings.c:202  debug_display_settings           [   0.37076] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.37083] Score is : 712
display  D   display_settings.c:202  debug_display_settings           [   0.37087] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.37096] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.37100] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.37106] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.37110] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.37116] Score is : 726
display  D   display_settings.c:202  debug_display_settings           [   0.37121] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.37126] Score is : 721
display  D   display_settings.c:202  debug_display_settings           [   0.37130] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.37136] Score is : 717
display  D   display_settings.c:202  debug_display_settings           [   0.37141] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.37147] Score is : 715
display  D   display_settings.c:202  debug_display_settings           [   0.37151] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.37157] Score is : 714
display  D   display_settings.c:202  debug_display_settings           [   0.37162] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.37168] Score is : 713
display  D   display_settings.c:202  debug_display_settings           [   0.37173] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.37178] Score is : 712
display  D   display_settings.c:202  debug_display_settings           [   0.37183] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.37188] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.37194] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.37199] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.37204] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.37211] Score is : 726
display  D   display_settings.c:202  debug_display_settings           [   0.37216] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.37221] Score is : 721
display  D   display_settings.c:202  debug_display_settings           [   0.37226] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.37232] Score is : 717
display  D   display_settings.c:202  debug_display_settings           [   0.37236] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.37243] Score is : 715
display  D   display_settings.c:202  debug_display_settings           [   0.37247] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.37252] Score is : 714
display  D   display_settings.c:202  debug_display_settings           [   0.37256] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.37261] Score is : 713
display  D   display_settings.c:202  debug_display_settings           [   0.37265] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.37270] Score is : 712
display  D   display_settings.c:202  debug_display_settings           [   0.37274] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.37279] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.37283] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.37288] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.37293] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.37298] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.37302] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.37307] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.37312] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.37317] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.37321] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.37326] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.37331] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.37336] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.37341] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.37347] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.37351] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.37356] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.37361] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.37366] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.37371] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.37377] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.37382] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.37387] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.37391] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.37397] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.37401] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.37406] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.37410] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.37416] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.37421] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.37427] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.37431] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.37437] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.37443] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.37449] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.37454] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.37459] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.37464] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.37470] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.37475] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.37481] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.37486] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.37492] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.37496] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.37502] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.37506] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.37512] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.37517] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.37522] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.37527] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.37533] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.37537] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.37544] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.37548] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.37554] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.37558] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.37564] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.37569] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.37574] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.37579] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.37585] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.37590] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.37596] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.37601] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.37607] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.37611] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.37617] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.37622] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.37635] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.37641] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.37647] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.37651] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
